Past Convo,Tutor Response,Tutor Action,Prep,Color,Obj
"Tutor: ""Pink"" is ""rosa"". Please try to fill in the blank in Italian.  Student: Okay.  What is tree again? Tutor: Hmm...  ""tree"" is  ""l'albero"" Student: Thanks.  How do I say ""behind"" in Italian? Tutor: OK,  ""is behind the"" is ""e dietro"" Student: il cane e dietro rosa l'albero? Tutor: l' (""the"") is prepended to the following word when it begins with a vowel Student: Is it correct to say ""il cane e dietro rosa l'albero""? Tutor: l' (""the"" is prepended to the following word when it begins with a vowel. Student: So what's the correct answer?",Look at your order of words again. Adjectives (such as color words) follow the noun they modify in Italian.,"[False, False, False, False, True]",e dietro,rosa,l'albero
"Tutor: Please try to fill in the blank in Italian.  Student: How do you say is next to the? Tutor: Well,  ""is next to the"" is ""e accanto al"" Student: e accanto al scatola rosa is my guess then. Tutor: Okay, I'll give you a hint.  ""bed"" is  ""letto"" Student: Oh okay! then I'll try e accanto al letto roso.",Wonderful!,"[False, False, False, True, False]",e accanto al,rosa,letto
"Tutor: Please try to fill in the blank in Italian.  Student: what is nest to ? Tutor: all' (""to the"" is prepended to the following word when it begins with a vowel.  This is a contraction of al (""to"") and l' (""the"") Student: blue? Tutor: OK,  ""blue"" is ""blu"" Student: il gatto all'bero blu. Tutor: OK,  ""is next to the"" is  ""e vicino"" Student: il gatto e vicino all'abero blu. Tutor: Hmm...  ""tree"" is  ""all'albero"" Student: ok",So close! Look at the word tree and double check its spelling.,"[False, False, False, True, False]",e vicino,blu,all'albero
"Tutor: Please try to fill in the blank in Italian.  Student: nexto il bunio amarillo Tutor: OK,  ""is next to the"" is  ""e accanto al"" Student: e accanto al bunio amarillo Tutor: Hmm...  ""bunny"" is  ""coniglio"" Student: e accanto al coniglio amarillo","Well let's look at your last word ""amarillo"". What does that mean?","[True, False, False, False, False]",e accanto al,giallo,coniglio
"Tutor: Please try to fill in the blank in Italian.  Student: what is bed? Tutor: OK,  ""bed"" is  ""letto"" Student: is en vicino next to?","The ""is next to the"" is e accanto al.","[False, True, False, False, False]",e accanto al,giallo,letto
"Tutor: ""Pink"" is ""rosa"". Please try to fill in the blank in Italian.  Student: Okay.  What is tree again? Tutor: Hmm...  ""tree"" is  ""l'albero"" Student: Thanks.  How do I say ""behind"" in Italian? Tutor: OK,  ""is behind the"" is ""e dietro"" Student: il cane e dietro rosa l'albero? Tutor: l' (""the"") is prepended to the following word when it begins with a vowel Student: Is it correct to say ""il cane e dietro rosa l'albero""? Tutor: l' (""the"" is prepended to the following word when it begins with a vowel. Student: So what's the correct answer?",Are you sure you have all the words in the right order?,"[True, False, False, False, False]",e dietro,rosa,l'albero
"Tutor: Please try to fill in the blank in Italian.  Student: How do you say is next to the? Tutor: Well,  ""is next to the"" is ""e accanto al"" Student: e accanto al scatola rosa is my guess then. Tutor: Okay, I'll give you a hint.  ""bed"" is  ""letto"" Student: Oh okay! then I'll try e accanto al letto roso.",Very good - you are almost completely right. But pink should be?,"[False, False, True, True, False]",e accanto al,rosa,letto
"Tutor: Please try to fill in the blank in Italian.  Student: what is nest to ? Tutor: all' (""to the"" is prepended to the following word when it begins with a vowel.  This is a contraction of al (""to"") and l' (""the"") Student: blue? Tutor: OK,  ""blue"" is ""blu"" Student: il gatto all'bero blu. Tutor: OK,  ""is next to the"" is  ""e vicino"" Student: il gatto e vicino all'abero blu. Tutor: Hmm...  ""tree"" is  ""all'albero"" Student: ok",You are close but remember the rule about words starting with a verb.,"[True, False, True, True, False]",e vicino,blu,all'albero
"Tutor: Please try to fill in the blank in Italian.  Student: nexto il bunio amarillo Tutor: OK,  ""is next to the"" is  ""e accanto al"" Student: e accanto al bunio amarillo Tutor: Hmm...  ""bunny"" is  ""coniglio"" Student: e accanto al coniglio amarillo","What is the word for ""yellow""?","[True, False, False, False, False]",e accanto al,giallo,coniglio
"Tutor: Please try to fill in the blank in Italian.  Student: what is bed? Tutor: OK,  ""bed"" is  ""letto"" Student: is en vicino next to?","No, that's not correct.","[False, False, True, False, False]",e accanto al,giallo,letto
"Tutor: ""Pink"" is ""rosa"". Please try to fill in the blank in Italian.  Student: Okay.  What is tree again? Tutor: Hmm...  ""tree"" is  ""l'albero"" Student: Thanks.  How do I say ""behind"" in Italian? Tutor: OK,  ""is behind the"" is ""e dietro"" Student: il cane e dietro rosa l'albero? Tutor: l' (""the"") is prepended to the following word when it begins with a vowel Student: Is it correct to say ""il cane e dietro rosa l'albero""? Tutor: l' (""the"" is prepended to the following word when it begins with a vowel. Student: So what's the correct answer?","Almost. In Italian, adjectives come after noun.","[False, True, True, False, False]",e dietro,rosa,l'albero
"Tutor: Please try to fill in the blank in Italian.  Student: How do you say is next to the? Tutor: Well,  ""is next to the"" is ""e accanto al"" Student: e accanto al scatola rosa is my guess then. Tutor: Okay, I'll give you a hint.  ""bed"" is  ""letto"" Student: Oh okay! then I'll try e accanto al letto roso.",Almost. It is not roso. Pink is rosa.,"[False, False, True, True, False]",e accanto al,rosa,letto
"Tutor: Please try to fill in the blank in Italian.  Student: what is nest to ? Tutor: all' (""to the"" is prepended to the following word when it begins with a vowel.  This is a contraction of al (""to"") and l' (""the"") Student: blue? Tutor: OK,  ""blue"" is ""blu"" Student: il gatto all'bero blu. Tutor: OK,  ""is next to the"" is  ""e vicino"" Student: il gatto e vicino all'abero blu. Tutor: Hmm...  ""tree"" is  ""all'albero"" Student: ok",OK. Could you say it with correct words?,"[True, False, False, False, False]",e vicino,blu,all'albero
"Tutor: Please try to fill in the blank in Italian.  Student: nexto il bunio amarillo Tutor: OK,  ""is next to the"" is  ""e accanto al"" Student: e accanto al bunio amarillo Tutor: Hmm...  ""bunny"" is  ""coniglio"" Student: e accanto al coniglio amarillo","Hmm... ""yellow"" is ""giallo""","[False, False, True, False, False]",e accanto al,giallo,coniglio
"Tutor: Please try to fill in the blank in Italian.  Student: what is bed? Tutor: OK,  ""bed"" is  ""letto"" Student: is en vicino next to?","No. ""next to"" is ""e accanto""","[False, True, False, False, False]",e accanto al,giallo,letto
"Tutor: Please try to fill in the blank in Italian.  Student: How do you say ""is under""?","""Is under"" is ""e sotto.""","[False, True, False, False, False]",e sotto il,rosa,tavolo
"Tutor: ""Is Inside Of The"" is ""e dentro la"". Please try to fill in the blank in Italian.  Student: Ok! But what is ""bag"" in Italian? Tutor: OK,  ""bag"" is  ""borsa"" Student: Oh! And I can't remember what ""yellow"" is...","""Yellow"" is ""gialla.""","[False, True, False, False, False]",e dentro la,gialla,borsa
"Tutor: Please try to fill in the blank in Italian.  Student: How do you say ""is in front of""? Tutor: Remember that  ""is in front of the"" is ""e di fronte al"" Student: What is the word for ""red""?","""Red"" is ""rosso.""","[False, True, False, False, False]",e di fronte al,rosso,letto
Tutor: Please try to fill in the blank in Italian.  Student: what is is behind?,"Remember ""is behind"" is ""e dietro.""","[False, True, False, False, False]",e dietro la,gialla,scatola
Tutor: Please try to fill in the blank in Italian.  Student: What is the phrase for under?,"""Under"" in Italian is ""sotto.""","[False, True, False, False, False]",e sotto il,rosa,tavolo
"Tutor: Please try to fill in the blank in Italian.  Student: How do you say ""is under""?",e sotto,"[True, False, False, False, False]",e sotto il,rosa,tavolo
"Tutor: ""Is Inside Of The"" is ""e dentro la"". Please try to fill in the blank in Italian.  Student: Ok! But what is ""bag"" in Italian? Tutor: OK,  ""bag"" is  ""borsa"" Student: Oh! And I can't remember what ""yellow"" is...","Ok, yellow is gialla","[False, True, False, False, False]",e dentro la,gialla,borsa
"Tutor: Please try to fill in the blank in Italian.  Student: How do you say ""is in front of""? Tutor: Remember that  ""is in front of the"" is ""e di fronte al"" Student: What is the word for ""red""?",Rosso is the word for red.,"[False, True, False, False, False]",e di fronte al,rosso,letto
Tutor: Please try to fill in the blank in Italian.  Student: what is is behind?,"Ok, e dietro means behind.","[False, True, False, False, False]",e dietro la,gialla,scatola
