Past Convo,Student Repsonse,"Actions (guess, question, affirmation, other)"
" Tutor: ""Tree"" is ""all'albero"". Please try to fill in the blank in Italian. ",What is tree in Italian?,"[False, True, False, False]"
" Tutor: ""Tree"" is ""all'albero"". Please try to fill in the blank in Italian.  Student: What is tree in Italian? Tutor: Okay, I'll give you a hint.  ""tree"" is  ""all'albero""",Oh I remember you saying that.,"[False, False, True, False]"
" Tutor: ""Tree"" is ""all'albero"". Please try to fill in the blank in Italian.  Student: What is tree in Italian? Tutor: Okay, I'll give you a hint.  ""tree"" is  ""all'albero"" Student: Oh I remember you saying that. Tutor: Do you know how to say is in front of the?",No can you tell me?,"[False, True, False, False]"
" Tutor: ""Tree"" is ""all'albero"". Please try to fill in the blank in Italian.  Student: What is tree in Italian? Tutor: Okay, I'll give you a hint.  ""tree"" is  ""all'albero"" Student: Oh I remember you saying that. Tutor: Do you know how to say is in front of the? Student: No can you tell me? Tutor: all' (""to the"" is prepended to the following word when it begins with a vowel.  This is a contraction of al (""to"") and l' (""the"")",Ok i think I got it.,"[False, False, True, False]"
" Tutor: ""Tree"" is ""all'albero"". Please try to fill in the blank in Italian.  Student: What is tree in Italian? Tutor: Okay, I'll give you a hint.  ""tree"" is  ""all'albero"" Student: Oh I remember you saying that. Tutor: Do you know how to say is in front of the? Student: No can you tell me? Tutor: all' (""to the"" is prepended to the following word when it begins with a vowel.  This is a contraction of al (""to"") and l' (""the"") Student: Ok i think I got it. Tutor: Do you know how to say tree?",allalbero,"[True, False, False, False]"
" Tutor: ""Tree"" is ""all'albero"". Please try to fill in the blank in Italian.  Student: What is tree in Italian? Tutor: Okay, I'll give you a hint.  ""tree"" is  ""all'albero"" Student: Oh I remember you saying that. Tutor: Do you know how to say is in front of the? Student: No can you tell me? Tutor: all' (""to the"" is prepended to the following word when it begins with a vowel.  This is a contraction of al (""to"") and l' (""the"") Student: Ok i think I got it. Tutor: Do you know how to say tree? Student: allalbero Tutor: Remember that  ""is in front of the"" is  ""e di fronte""",Ok I remember.,"[False, False, True, False]"
" Tutor: ""Tree"" is ""all'albero"". Please try to fill in the blank in Italian.  Student: What is tree in Italian? Tutor: Okay, I'll give you a hint.  ""tree"" is  ""all'albero"" Student: Oh I remember you saying that. Tutor: Do you know how to say is in front of the? Student: No can you tell me? Tutor: all' (""to the"" is prepended to the following word when it begins with a vowel.  This is a contraction of al (""to"") and l' (""the"") Student: Ok i think I got it. Tutor: Do you know how to say tree? Student: allalbero Tutor: Remember that  ""is in front of the"" is  ""e di fronte"" Student: Ok I remember. Tutor: Do you know how to say tree?",all'albero,"[True, False, False, False]"
" Tutor: ""Tree"" is ""all'albero"". Please try to fill in the blank in Italian.  Student: What is tree in Italian? Tutor: Okay, I'll give you a hint.  ""tree"" is  ""all'albero"" Student: Oh I remember you saying that. Tutor: Do you know how to say is in front of the? Student: No can you tell me? Tutor: all' (""to the"" is prepended to the following word when it begins with a vowel.  This is a contraction of al (""to"") and l' (""the"") Student: Ok i think I got it. Tutor: Do you know how to say tree? Student: allalbero Tutor: Remember that  ""is in front of the"" is  ""e di fronte"" Student: Ok I remember. Tutor: Do you know how to say tree? Student: all'albero Tutor: OK,  ""green"" is  ""verde""",Ok I remember that too.,"[False, False, True, False]"
" Tutor: ""Tree"" is ""all'albero"". Please try to fill in the blank in Italian.  Student: What is tree in Italian? Tutor: Okay, I'll give you a hint.  ""tree"" is  ""all'albero"" Student: Oh I remember you saying that. Tutor: Do you know how to say is in front of the? Student: No can you tell me? Tutor: all' (""to the"" is prepended to the following word when it begins with a vowel.  This is a contraction of al (""to"") and l' (""the"") Student: Ok i think I got it. Tutor: Do you know how to say tree? Student: allalbero Tutor: Remember that  ""is in front of the"" is  ""e di fronte"" Student: Ok I remember. Tutor: Do you know how to say tree? Student: all'albero Tutor: OK,  ""green"" is  ""verde"" Student: Ok I remember that too. Tutor: Do you know how to say tree?",all'albero,"[True, False, False, False]"
" Tutor: ""Tree"" is ""all'albero"". Please try to fill in the blank in Italian.  Student: What is tree in Italian? Tutor: Okay, I'll give you a hint.  ""tree"" is  ""all'albero"" Student: Oh I remember you saying that. Tutor: Do you know how to say is in front of the? Student: No can you tell me? Tutor: all' (""to the"" is prepended to the following word when it begins with a vowel.  This is a contraction of al (""to"") and l' (""the"") Student: Ok i think I got it. Tutor: Do you know how to say tree? Student: allalbero Tutor: Remember that  ""is in front of the"" is  ""e di fronte"" Student: Ok I remember. Tutor: Do you know how to say tree? Student: all'albero Tutor: OK,  ""green"" is  ""verde"" Student: Ok I remember that too. Tutor: Do you know how to say tree? Student: all'albero Tutor: Prepositional phrases separate the two noun phrases.","How do you say ""of""?","[False, True, False, False]"
" Tutor: ""Tree"" is ""all'albero"". Please try to fill in the blank in Italian.  Student: What is tree in Italian? Tutor: Okay, I'll give you a hint.  ""tree"" is  ""all'albero"" Student: Oh I remember you saying that. Tutor: Do you know how to say is in front of the? Student: No can you tell me? Tutor: all' (""to the"" is prepended to the following word when it begins with a vowel.  This is a contraction of al (""to"") and l' (""the"") Student: Ok i think I got it. Tutor: Do you know how to say tree? Student: allalbero Tutor: Remember that  ""is in front of the"" is  ""e di fronte"" Student: Ok I remember. Tutor: Do you know how to say tree? Student: all'albero Tutor: OK,  ""green"" is  ""verde"" Student: Ok I remember that too. Tutor: Do you know how to say tree? Student: all'albero Tutor: Prepositional phrases separate the two noun phrases. Student: How do you say ""of""? Tutor: Adjectives (such as color words) follow the noun they modify in Italian.",Ok,"[False, False, True, False]"
